IdLoja;Departamento;Categoria;SubCategoria;Marca;Unidade;Volume;CodigoBarra;Nome;Data;Data2;Valor;ValorPromocao;QtdeEstoqueAtual;QtdeEstoqueMinimo;Descricao;Ativo;Plu;ValorCompra;ValidadeProxima;ValorAtacado;QuantidadeAtacado;SemUso
5264;FRUTAS & HORTALICAS;VERDURAS & LEGUMES ORGANICOS;ABOBORA;DA NOSSA;UN;1;7898949731153;Cebola;08/12/2023;08/12/2023;4.59;0;0;5;1kg - Pacote;S;112516;0;N;0;0; 
5264;SECA DOCE;ACHOCOLATADOS;POTE;NESCAU;UN;1;7891000379691;Achocolatado Nescau;08/12/2023;08/12/2023;9.99;0;1043;5;370g - Lata;S;2140929;0;N;0;0; 
5264;PAES E BOLOS INDUSTRIALIZADOS;PANETTONES;PANETTONES TRAD.FRUTAS;CASA SUICA;UN;1;7897173091330;PANETTONE CASA SUICA FTAS 1KG LA;08/12/2023;08/12/2023;79.99;0;0;5; ;S;2140739;0;N;0;0; 
5264;FRUTAS & HORTALICAS;FOLHAGENS EMBALADAS;MANJERONA;AROMA E SABOR;UN;1;7898959807060;Manjerona Aroma & Sabor;08/12/2023;08/12/2023;5.45;0;0;5;30g;S;2032688;0;N;0;0; 
5264;FRUTAS & HORTALICAS;CONDIMENTOS;TEMPEROS;AROMA E SABOR;UN;1;7898959807138;Oregano Aroma & Sabor;08/12/2023;08/12/2023;6.85;0;0;5;30g;S;1985811;0;N;0;0; 
5264;SECA DOCE;CHAS FLORES E FRUTAS;CHA DE FLORES E FRUTAS;MATTE LEAO;UN;1;7891098042248;Cha Leao;08/12/2023;08/12/2023;14.39;0;0;5;20g - Xo Tpm - Cereja, Morango e Baunilha - Com 10 Saquinhos;S;2139764;0;N;0;0; 
5264;PERFUMARIA/HIGIENE E BELEZA;HIGIENE PARA CABELOS;SHAMPOO TOP PROM.;PANTENE;UN;1;7500435169363;Conjunto Pantene;08/12/2023;08/12/2023;25.99;0;0;5;350ml - Shampoo + 175ml - Condicionador - Liso Extremo;S;1906700;0;N;0;0; 
5264;SAUDAVEIS;BEB.LACTEA PROT.REST.LACTOSE;BEB.LACTEA PROTEICA IND.;PIRACANJUBA;UN;1;7898215157854;BEB.LAC.PROT.15G PIRACANJUBA CHOC.250ML;08/12/2023;08/12/2023;6.05;0;0;5; ;S;2155638;0;N;0;0; 
5264;SECA LEVE;BOMBONIERE;PIRULITO;PUSH POP;UN;1;7798040461617;PIRULITO PUSH POP MINIONS 15G;08/12/2023;08/12/2023;7.38;0;1206;5; ;S;2088573;0;N;0;0; 
5264;PERFUMARIA/HIGIENE E BELEZA;HIGIENE BUCAL;CREME DENTAL SENSIVEL;COLGATE;UN;1;7509546672298;Creme Dental Colgate;08/12/2023;08/12/2023;21.19;0;130;5;140g - Sensitive - Pro-Alivio - Gengivas;S;2027571;0;N;0;0; 
5264;PAPELARIA/VIAGEM/LIVROS;PAPELARIA;PASTA ABA ELASTICO;DELLO;UN;1;7897832889414;PASTA DELLO A4 FULL C/ABAS ELAST.;08/12/2023;08/12/2023;6.04;0;0;5; ;S;2179950;0;N;0;0; 
