Product Name,link,ean_value,Price,loja,brand,ListPrice,Departament,Category,SubCategory
Corrente para Caes SSPETS,,7898474532256,15.99,Condor,SSPETS,,ANIMAIS,CAES-ACESSORIOS,CAO-CORRENTES
Guia com Peitoral SSPETS,,7898474532744,63.9,Condor,SSPETS,,ANIMAIS,CAES-ACESSORIOS,CAO-PEITORAIS/GUIAS
Oleo Max Bardahl,,7896580702075,29.89,Condor,BARDAHL,,FERRAGENS & FERRAMENTAS,ADITIVOS/LUBRIFICANTES,OLEO SINTETICO P/AUTOMOVEIS
Vodca Grey Goose,,5010677850209,199.9,Condor,GREY GOOSE,,BEBIDAS QUENTES,DESTILADOS,VODKA PREMIUM
Bandeja Alegria&Festa,,7898446286446,6.15,Condor,ALEGRIA&FESTA,,CASA & UTILIDADES,ARTIGOS DESCARTAVEIS,DESC-BANDEJA
Forro para Forminha de Papel Alegria&Festa,,7898446282356,4.35,Condor,ALEGRIA&FESTA,,CASA & UTILIDADES,ARTIGOS P/FESTA,FES-PREPARACAO E DECORACAO
Colher para Mesa Catuai,,7899701846757,6.15,Condor,CATUAI,,CASA & UTILIDADES,TALHERES DE MESA,TLM-COLHER DE MESA E SOBREMESA
Colher Catuai,,7898297170574,18.9,Condor,CATUAI,,CASA & UTILIDADES,TALHERES DE SERVICO,TLS-COLHERES P/ARROZ
Shampoo e Condicionador para Gatos Matacura,,7896720320213,22.79,Condor,MATACURA,,ANIMAIS,GATOS-HIGIENE E BELEZA,GATO-SHAMPOO/CONDICIONADOR
Bloco Adesivo Post-it 3M,,7891040216154,12.49,Condor,3M,,PAPELARIA/VIAGEM/LIVROS,ANOTACOES PESSOAIS & CORRESPON,BLOCOS DE ANOTACOES
Feltro Scotch,,7891040177899,8.55,Condor,SCOTCH,,FERRAGENS & FERRAMENTAS,SEGURANCA & PROTECAO,FELTROS
Bloco Adesivo Post-it 3M,,7891040216116,8.99,Condor,3M,,PAPELARIA/VIAGEM/LIVROS,ANOTACOES PESSOAIS & CORRESPON,BLOCOS DE ANOTACOES
Pano Limppano,,7896021626229,20.9,Condor,LIMPPANO,,CASA & UTILIDADES,LAVANDERIA PANOS,LAV-PANO P/PIA MICROFIBRA
Saco de Algodao Alklin,,7897750782439,10.49,Condor,ALKLIN,,CASA & UTILIDADES,LAVANDERIA PANOS,LAV-PANO P/PISO ALGODAO
Cachepo Elegance Nutriplan,,7896403218066,19.9,Condor,NUTRIPLAN,,JARDINS,VASOS & ACESSORIOS,VASOS CERAMICAS
Edredom SSPETS,,7898474535783,35.29,Condor,SSPETS,,ANIMAIS,CAES-ACESSORIOS,CAO-MANTAS
Edredom SSPETS,,7898474534953,35.29,Condor,SSPETS,,ANIMAIS,CAES-ACESSORIOS,CAO-MANTAS
Concha Catuai,,7899701854608,14.9,Condor,CATUAI,,CASA & UTILIDADES,TALHERES DE SERVICO,TLS-CONCHAS
Concha Catuai,,7899701802586,14.9,Condor,CATUAI,,CASA & UTILIDADES,TALHERES DE SERVICO,TLS-CONCHAS
Molho Barbecue Hemmer,,7891031409459,14.29,Condor,HEMMER,,SECA SALGADA,MOLHOS,MOLHO BARBECUE
Bomba Manual Catuai,,7899701854585,27.9,Condor,CATUAI,,CASA & UTILIDADES,UTENSILIOS P/COZINHA,UTC-SUPORTE P/GARRAFAO/ACESSOR
Caminhao Dino Sabidinho Cardoso,,7896484110075,37.9,Condor,CARDOSO,,BRINQUEDOS & LAZER,BEBE,BRINQUEDOS DIDATICOS
Silicone Bucas,,7898275014142,24.59,Condor,BUCAS,,FERRAGENS & FERRAMENTAS,LIMPEZA DE AUTO/ACABAMENTO,SILICONE AEROSOL
Molho de Tomate Pomarola,,7896036000267,20.69,Condor,POMAROLA,,SECA SALGADA,ATOMATADOS,MOLHO DE TOMATE ESPEC.SACHE
Molho de Tomate Pomarola,,7896036000274,20.69,Condor,POMAROLA,,SECA SALGADA,ATOMATADOS,MOLHO DE TOMATE ESPEC.SACHE
Conjunto Burger Pack Heinz,,7896102587043,38.29,Condor,HEINZ,,SECA SALGADA,MOLHOS,MAIONESE TRADICIONAL POTE
Retoque de Raiz Instantaneo Koleston,,7891182020107,38.99,Condor,KOLESTON,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,TONALIZANTE SPRAY
Cesta de Natal Bauducco,,7891962068497,139.9,Condor,Sem marca,,PAES E BOLOS INDUSTRIALIZADOS,PANETTONES,PANETTONES TRAD.FRUTAS
Cesta de Natal Bauducco,,7891962072531,139.9,Condor,Sem marca,,PAES E BOLOS INDUSTRIALIZADOS,PANETTONES,PANETTONES TRAD.FRUTAS
Broca Tramontina,,7891114101652,6.19,Condor,TRAMONTINA,,FERRAGENS & FERRAMENTAS,ACESSORIOS P/EQUIP. ELETRICO,BROCAS AVULSAS
Hamburguer Frimesa,,7896275921064,3.55,Condor,FRIMESA,,CONGELADOS,HAMBURGUER,HAMBURGUER INDIVIDUAL
Espumante Casa Perini,,7896452112179,44.9,Condor,CASA PERINI,,BEBIDAS QUENTES,VINHOS,ESPUMANTE DEMI
Creme de Tratamento Origem,,7896085869464,21.99,Condor,ORIGEM,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,CREME TRATAMENTO BASICO
Condicionador Origem,,7896085869457,15.18,Condor,ORIGEM,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,CONDICIONADOR BASICO
Copo para Whisky Nadir,,7891155004233,6.49,Condor,NADIR,,CASA & UTILIDADES,COPOS E JOGO DE COPOS,C.JG-COPOS DE VIDRO ALTO
Lasanha Perdigao,,7891515496357,10.99,Condor,PERDIGAO,,CONGELADOS,LASANHA,LASANHA TRADICIONAL
Lasanha Perdigao,,7891515496241,20.99,Condor,PERDIGAO,,CONGELADOS,LASANHA,LASANHA FAMILIAR
Refresco em Po Clight,,7622210696328,1.49,Condor,CLIGHT,,BEBIDAS FRIAS,REFRESCO EM PO,DIET-ZERO
Refresco em Po Clight,,7622210696595,1.49,Condor,CLIGHT,,BEBIDAS FRIAS,REFRESCO EM PO,DIET-ZERO
